Player,FD Points Scored,League Points Earned
prezsid,146.26,40
axis_of_ignorance,143.62,30
ldelvecc,139.42,25
consistentlyinconsistent,134.76,23
gridking,134.22,22
dough_nut,124.26,17
princess_toadstool,124.06,16
amizrac,121.06,15
thegee,119.36,14
joeyfalg,118.68,13
rfrang149,116.12,10
mhaight88,114.22,9
pbric,107.62,8
scott395,105.78,7
pink149,102.36,6
siglerru,101.52,4
nagle13,96.14,3
aclegend89,93.62,2
dirtyseagulls,90.92,1
quin1024,73.92,0
