Player,FD Points Scored,League Points Earned
joeyfalg,146.84,40
dirtyseagulls,145.7,30
gridking,133.18,25
scott395,128.72,23
dough_nut,124.1,22
thegee,120.4,17
pink149,116.78,16
mhaight88,105.66,15
prezsid,103.42,14
axis_of_ignorance,102.38,13
aclegend89,99.08,10
quin1024,99,9
siglerru,97.32,8
nagle13,91.2,7
amizrac,75.92,6
pbric,74.46,4
ldelvecc,72.58,3
consistentlyinconsistent,71.38,2
rfrang149,64.58,1
