Player,FD Points Scored,League Points Earned
dirtyseagulls,121.02,40
pbric,113.78,30
joeyfalg,111.4,25
gridking,101.92,23
princess_toadstool,100.42,22
axis_of_ignorance,97.86,17
scott395,96.96,16
thegee,96.12,15
rfrang149,95.46,14
pink149,92.32,13
dough_nut,91.52,10
mhaight88,86.86,9
ldelvecc,85.3,8
nagle13,82.2,7
siglerru,78.56,6
quin1024,78.32,4
prezsid,72.8,3
aclegend89,69.42,2
amizrac,66.62,1
consistentlyinconsistent,65.52,0
