Player,FD Points Scored,League Points Earned
aclegend89,146.68,40
siglerru,141.98,30
joeyfalg,127.52,25
gridking,125.7,23
prezsid,123.7,22
consistentlyinconsistent,121.8,17
rfrang149,110.94,16
ldelvecc,110.5,15
thegee,108.4,14
dirtyseagulls,107.54,13
pbric,106.98,10
amizrac,105.58,9
dough_nut,104.54,8
nagle13,103.16,7
axis_of_ignorance,98.72,6
mhaight88,97.14,4
princess_toadstool,92.92,3
scott395,91.02,2
quin1024,88.4,1
pink149,78.98,0
