Player,FD Points Scored,League Points Earned
princess_toadstool,146.90,40
quin1024,145.80,30
joeyfalg,141.30,25
pbric,137.90,23
pink149,128.28,22
dirtyseagulls,126.50,17
consistentlyinconsistent,124.44,16
mhaight88,120.60,15
dough_nut,119.60,14
axis_of_ignorance,114.40,13
nagle13,110.50,10
rfrang149,105.50,9
gridking,96.10,8
amizrac,95.80,7
siglerru,95.72,6
prezsid,94.70,4
scott395,94.30,3
thegee,92.20,2
aclegend89,91.84,1
ldelvecc,83.44,0
