Player,FD Points Scored,League Points Earned
mhaight88,129.86,40
princess_toadstool,127.64,30
joeyfalg,124.84,25
ldelvecc,123.26,23
quin1024,107.64,22
amizrac,106.24,17
prezsid,105.34,16
nagle13,98.96,15
gridking,97.74,14
pink149,95.84,13
aclegend89,91.34,10
rfrang149,89.46,9
thegee,85.06,8
scott395,84.26,7
consistentlyinconsistent,76.48,6
axis_of_ignorance,76.1,4
pbric,75.34,3
siglerru,71.2,2
dough_nut,68.42,1
dirtyseagulls,56.92,0
